case,subcase_id,method,seed,n_successful_trials,median_time,max_time,allowed_time,process_id,run_order,run_id,original_process_id,original_run_order
sitar,21,HGAM-GS,84,5,27.0713,28.80561666666667,36.007020833333335,1,1,sitar__subcase-021__HGAM-GS__seed-84,53,6
sitar,17,HGAM-GS,31,5,18.212750000000003,18.446749999999998,23.058437499999997,2,1,sitar__subcase-017__HGAM-GS__seed-31,53,7
sitar,8,HGAM-GS,99,5,0.6399666666666667,0.6588166666666666,0.8235208333333333,3,1,sitar__subcase-008__HGAM-GS__seed-99,53,8
sitar,21,HGAM-GS,28,5,27.0713,28.80561666666667,36.007020833333335,4,1,sitar__subcase-021__HGAM-GS__seed-28,55,5
sitar,21,HGAM-GS,60,5,27.0713,28.80561666666667,36.007020833333335,5,1,sitar__subcase-021__HGAM-GS__seed-60,55,6
sitar,17,HGAM-GS,35,5,18.212750000000003,18.446749999999998,23.058437499999997,6,1,sitar__subcase-017__HGAM-GS__seed-35,55,7
sitar,8,HGAM-GS,59,5,0.6399666666666667,0.6588166666666666,0.8235208333333333,7,1,sitar__subcase-008__HGAM-GS__seed-59,55,8
sitar,21,HGAM-GS,71,5,27.0713,28.80561666666667,36.007020833333335,8,1,sitar__subcase-021__HGAM-GS__seed-71,58,4
sitar,21,HGAM-GS,77,5,27.0713,28.80561666666667,36.007020833333335,9,1,sitar__subcase-021__HGAM-GS__seed-77,58,5
sitar,21,HGAM-GS,79,5,27.0713,28.80561666666667,36.007020833333335,10,1,sitar__subcase-021__HGAM-GS__seed-79,58,6
sitar,17,HGAM-GS,30,5,18.212750000000003,18.446749999999998,23.058437499999997,11,1,sitar__subcase-017__HGAM-GS__seed-30,58,7
sitar,8,HGAM-GS,27,5,0.6399666666666667,0.6588166666666666,0.8235208333333333,12,1,sitar__subcase-008__HGAM-GS__seed-27,58,8
sitar,21,HGAM-GS,66,5,27.0713,28.80561666666667,36.007020833333335,13,1,sitar__subcase-021__HGAM-GS__seed-66,59,4
sitar,21,HGAM-GS,81,5,27.0713,28.80561666666667,36.007020833333335,14,1,sitar__subcase-021__HGAM-GS__seed-81,59,5
sitar,21,HGAM-GS,82,5,27.0713,28.80561666666667,36.007020833333335,15,1,sitar__subcase-021__HGAM-GS__seed-82,59,6
sitar,17,HGAM-GS,13,5,18.212750000000003,18.446749999999998,23.058437499999997,16,1,sitar__subcase-017__HGAM-GS__seed-13,59,7
sitar,8,HGAM-GS,50,5,0.6399666666666667,0.6588166666666666,0.8235208333333333,17,1,sitar__subcase-008__HGAM-GS__seed-50,59,8
sitar,21,HGAM-GS,18,5,27.0713,28.80561666666667,36.007020833333335,18,1,sitar__subcase-021__HGAM-GS__seed-18,60,2
sitar,21,HGAM-GS,43,5,27.0713,28.80561666666667,36.007020833333335,19,1,sitar__subcase-021__HGAM-GS__seed-43,60,3
sitar,21,HGAM-GS,57,5,27.0713,28.80561666666667,36.007020833333335,20,1,sitar__subcase-021__HGAM-GS__seed-57,60,4
sitar,21,HGAM-GS,69,5,27.0713,28.80561666666667,36.007020833333335,21,1,sitar__subcase-021__HGAM-GS__seed-69,60,5
sitar,21,HGAM-GS,89,5,27.0713,28.80561666666667,36.007020833333335,22,1,sitar__subcase-021__HGAM-GS__seed-89,60,6
sitar,17,HGAM-GS,52,5,18.212750000000003,18.446749999999998,23.058437499999997,23,1,sitar__subcase-017__HGAM-GS__seed-52,60,7
sitar,8,HGAM-GS,11,5,0.6399666666666667,0.6588166666666666,0.8235208333333333,24,1,sitar__subcase-008__HGAM-GS__seed-11,60,8
sitar,21,HGAM-GS,22,5,27.0713,28.80561666666667,36.007020833333335,25,1,sitar__subcase-021__HGAM-GS__seed-22,65,2
sitar,21,HGAM-GS,24,5,27.0713,28.80561666666667,36.007020833333335,26,1,sitar__subcase-021__HGAM-GS__seed-24,65,3
sitar,21,HGAM-GS,30,5,27.0713,28.80561666666667,36.007020833333335,27,1,sitar__subcase-021__HGAM-GS__seed-30,65,4
sitar,21,HGAM-GS,36,5,27.0713,28.80561666666667,36.007020833333335,28,1,sitar__subcase-021__HGAM-GS__seed-36,65,5
sitar,21,HGAM-GS,85,5,27.0713,28.80561666666667,36.007020833333335,29,1,sitar__subcase-021__HGAM-GS__seed-85,65,6
sitar,17,HGAM-GS,83,5,18.212750000000003,18.446749999999998,23.058437499999997,30,1,sitar__subcase-017__HGAM-GS__seed-83,65,7
sitar,8,HGAM-GS,12,5,0.6399666666666667,0.6588166666666666,0.8235208333333333,31,1,sitar__subcase-008__HGAM-GS__seed-12,65,8
sitar,22,HGAM-GS,75,5,14.40805,24.366216666666666,30.457770833333335,32,1,sitar__subcase-022__HGAM-GS__seed-75,74,4
sitar,22,HGAM-GS,90,5,14.40805,24.366216666666666,30.457770833333335,33,1,sitar__subcase-022__HGAM-GS__seed-90,74,5
sitar,22,HGAM-GS,95,5,14.40805,24.366216666666666,30.457770833333335,34,1,sitar__subcase-022__HGAM-GS__seed-95,74,6
sitar,22,HGAM-GS,100,5,14.40805,24.366216666666666,30.457770833333335,35,1,sitar__subcase-022__HGAM-GS__seed-100,74,7
sitar,17,HGAM-GS,98,5,18.212750000000003,18.446749999999998,23.058437499999997,36,1,sitar__subcase-017__HGAM-GS__seed-98,74,8
sitar,10,HGAM-GS,37,5,2.2645166666666667,2.44995,3.0624374999999997,37,1,sitar__subcase-010__HGAM-GS__seed-37,74,9
sitar,4,HGAM-GS,89,5,0.5321666666666667,0.5343333333333333,0.6679166666666667,38,1,sitar__subcase-004__HGAM-GS__seed-89,74,10
sitar,22,HGAM-GS,42,5,14.40805,24.366216666666666,30.457770833333335,39,1,sitar__subcase-022__HGAM-GS__seed-42,78,5
sitar,22,HGAM-GS,59,5,14.40805,24.366216666666666,30.457770833333335,40,1,sitar__subcase-022__HGAM-GS__seed-59,78,6
sitar,22,HGAM-GS,61,5,14.40805,24.366216666666666,30.457770833333335,41,1,sitar__subcase-022__HGAM-GS__seed-61,78,7
sitar,17,HGAM-GS,40,5,18.212750000000003,18.446749999999998,23.058437499999997,42,1,sitar__subcase-017__HGAM-GS__seed-40,78,8
sitar,10,HGAM-GS,79,5,2.2645166666666667,2.44995,3.0624374999999997,43,1,sitar__subcase-010__HGAM-GS__seed-79,78,9
sitar,4,HGAM-GS,8,5,0.5321666666666667,0.5343333333333333,0.6679166666666667,44,1,sitar__subcase-004__HGAM-GS__seed-8,78,10
sitar,22,HGAM-GS,63,5,14.40805,24.366216666666666,30.457770833333335,45,1,sitar__subcase-022__HGAM-GS__seed-63,79,4
sitar,22,HGAM-GS,70,5,14.40805,24.366216666666666,30.457770833333335,46,1,sitar__subcase-022__HGAM-GS__seed-70,79,5
sitar,22,HGAM-GS,77,5,14.40805,24.366216666666666,30.457770833333335,47,1,sitar__subcase-022__HGAM-GS__seed-77,79,6
sitar,22,HGAM-GS,93,5,14.40805,24.366216666666666,30.457770833333335,48,1,sitar__subcase-022__HGAM-GS__seed-93,79,7
sitar,17,HGAM-GS,18,5,18.212750000000003,18.446749999999998,23.058437499999997,49,1,sitar__subcase-017__HGAM-GS__seed-18,79,8
sitar,10,HGAM-GS,71,5,2.2645166666666667,2.44995,3.0624374999999997,50,1,sitar__subcase-010__HGAM-GS__seed-71,79,9
sitar,4,HGAM-GS,17,5,0.5321666666666667,0.5343333333333333,0.6679166666666667,51,1,sitar__subcase-004__HGAM-GS__seed-17,79,10
sitar,24,HGAM-GS,3,5,9.9589,11.807116666666667,14.758895833333334,52,1,sitar__subcase-024__HGAM-GS__seed-3,96,9
sitar,24,HGAM-GS,13,5,9.9589,11.807116666666667,14.758895833333334,53,1,sitar__subcase-024__HGAM-GS__seed-13,96,10
sitar,24,HGAM-GS,20,5,9.9589,11.807116666666667,14.758895833333334,54,1,sitar__subcase-024__HGAM-GS__seed-20,96,11
sitar,24,HGAM-GS,40,5,9.9589,11.807116666666667,14.758895833333334,55,1,sitar__subcase-024__HGAM-GS__seed-40,96,12
sitar,24,HGAM-GS,62,5,9.9589,11.807116666666667,14.758895833333334,56,1,sitar__subcase-024__HGAM-GS__seed-62,96,13
sitar,24,HGAM-GS,68,5,9.9589,11.807116666666667,14.758895833333334,57,1,sitar__subcase-024__HGAM-GS__seed-68,96,14
sitar,24,HGAM-GS,73,5,9.9589,11.807116666666667,14.758895833333334,58,1,sitar__subcase-024__HGAM-GS__seed-73,96,15
sitar,24,HGAM-GS,77,5,9.9589,11.807116666666667,14.758895833333334,59,1,sitar__subcase-024__HGAM-GS__seed-77,96,16
sitar,6,HGAM-GS,27,5,0.7250666666666666,0.7365999999999999,0.92075,60,1,sitar__subcase-006__HGAM-GS__seed-27,96,17
sitar,4,HGAM-GS,83,5,0.5321666666666667,0.5343333333333333,0.6679166666666667,61,1,sitar__subcase-004__HGAM-GS__seed-83,96,18
sitar,24,HGAM-GS,21,5,9.9589,11.807116666666667,14.758895833333334,62,1,sitar__subcase-024__HGAM-GS__seed-21,97,3
sitar,24,HGAM-GS,25,5,9.9589,11.807116666666667,14.758895833333334,63,1,sitar__subcase-024__HGAM-GS__seed-25,97,4
sitar,24,HGAM-GS,34,5,9.9589,11.807116666666667,14.758895833333334,64,1,sitar__subcase-024__HGAM-GS__seed-34,97,5
sitar,24,HGAM-GS,39,5,9.9589,11.807116666666667,14.758895833333334,65,1,sitar__subcase-024__HGAM-GS__seed-39,97,6
sitar,24,HGAM-GS,50,5,9.9589,11.807116666666667,14.758895833333334,66,1,sitar__subcase-024__HGAM-GS__seed-50,97,7
sitar,24,HGAM-GS,56,5,9.9589,11.807116666666667,14.758895833333334,67,1,sitar__subcase-024__HGAM-GS__seed-56,97,8
sitar,24,HGAM-GS,57,5,9.9589,11.807116666666667,14.758895833333334,68,1,sitar__subcase-024__HGAM-GS__seed-57,97,9
sitar,24,HGAM-GS,58,5,9.9589,11.807116666666667,14.758895833333334,69,1,sitar__subcase-024__HGAM-GS__seed-58,97,10
sitar,24,HGAM-GS,60,5,9.9589,11.807116666666667,14.758895833333334,70,1,sitar__subcase-024__HGAM-GS__seed-60,97,11
sitar,24,HGAM-GS,69,5,9.9589,11.807116666666667,14.758895833333334,71,1,sitar__subcase-024__HGAM-GS__seed-69,97,12
sitar,24,HGAM-GS,74,5,9.9589,11.807116666666667,14.758895833333334,72,1,sitar__subcase-024__HGAM-GS__seed-74,97,13
sitar,24,HGAM-GS,79,5,9.9589,11.807116666666667,14.758895833333334,73,1,sitar__subcase-024__HGAM-GS__seed-79,97,14
sitar,24,HGAM-GS,94,5,9.9589,11.807116666666667,14.758895833333334,74,1,sitar__subcase-024__HGAM-GS__seed-94,97,15
sitar,24,HGAM-GS,95,5,9.9589,11.807116666666667,14.758895833333334,75,1,sitar__subcase-024__HGAM-GS__seed-95,97,16
sitar,10,HGAM-GS,26,5,2.2645166666666667,2.44995,3.0624374999999997,76,1,sitar__subcase-010__HGAM-GS__seed-26,97,17
sitar,7,HGAM-GS,51,5,0.37753333333333333,0.5759333333333333,0.7199166666666666,77,1,sitar__subcase-007__HGAM-GS__seed-51,97,18
sitar,24,HGAM-GS,12,5,9.9589,11.807116666666667,14.758895833333334,78,1,sitar__subcase-024__HGAM-GS__seed-12,98,3
sitar,24,HGAM-GS,16,5,9.9589,11.807116666666667,14.758895833333334,79,1,sitar__subcase-024__HGAM-GS__seed-16,98,4
sitar,24,HGAM-GS,24,5,9.9589,11.807116666666667,14.758895833333334,80,1,sitar__subcase-024__HGAM-GS__seed-24,98,5
sitar,24,HGAM-GS,37,5,9.9589,11.807116666666667,14.758895833333334,81,1,sitar__subcase-024__HGAM-GS__seed-37,98,6
sitar,24,HGAM-GS,53,5,9.9589,11.807116666666667,14.758895833333334,82,1,sitar__subcase-024__HGAM-GS__seed-53,98,7
sitar,24,HGAM-GS,63,5,9.9589,11.807116666666667,14.758895833333334,83,1,sitar__subcase-024__HGAM-GS__seed-63,98,8
sitar,24,HGAM-GS,76,5,9.9589,11.807116666666667,14.758895833333334,84,1,sitar__subcase-024__HGAM-GS__seed-76,98,9
sitar,24,HGAM-GS,84,5,9.9589,11.807116666666667,14.758895833333334,85,1,sitar__subcase-024__HGAM-GS__seed-84,98,10
sitar,24,HGAM-GS,89,5,9.9589,11.807116666666667,14.758895833333334,86,1,sitar__subcase-024__HGAM-GS__seed-89,98,11
sitar,24,HGAM-GS,90,5,9.9589,11.807116666666667,14.758895833333334,87,1,sitar__subcase-024__HGAM-GS__seed-90,98,12
sitar,24,HGAM-GS,91,5,9.9589,11.807116666666667,14.758895833333334,88,1,sitar__subcase-024__HGAM-GS__seed-91,98,13
sitar,24,HGAM-GS,92,5,9.9589,11.807116666666667,14.758895833333334,89,1,sitar__subcase-024__HGAM-GS__seed-92,98,14
sitar,24,HGAM-GS,98,5,9.9589,11.807116666666667,14.758895833333334,90,1,sitar__subcase-024__HGAM-GS__seed-98,98,15
sitar,24,HGAM-GS,99,5,9.9589,11.807116666666667,14.758895833333334,91,1,sitar__subcase-024__HGAM-GS__seed-99,98,16
sitar,10,HGAM-GS,10,5,2.2645166666666667,2.44995,3.0624374999999997,92,1,sitar__subcase-010__HGAM-GS__seed-10,98,17
sitar,7,HGAM-GS,94,5,0.37753333333333333,0.5759333333333333,0.7199166666666666,93,1,sitar__subcase-007__HGAM-GS__seed-94,98,18
sitar,24,HGAM-GS,8,5,9.9589,11.807116666666667,14.758895833333334,94,1,sitar__subcase-024__HGAM-GS__seed-8,100,3
sitar,24,HGAM-GS,17,5,9.9589,11.807116666666667,14.758895833333334,95,1,sitar__subcase-024__HGAM-GS__seed-17,100,4
sitar,24,HGAM-GS,19,5,9.9589,11.807116666666667,14.758895833333334,96,1,sitar__subcase-024__HGAM-GS__seed-19,100,5
sitar,24,HGAM-GS,22,5,9.9589,11.807116666666667,14.758895833333334,97,1,sitar__subcase-024__HGAM-GS__seed-22,100,6
sitar,24,HGAM-GS,23,5,9.9589,11.807116666666667,14.758895833333334,98,1,sitar__subcase-024__HGAM-GS__seed-23,100,7
sitar,24,HGAM-GS,27,5,9.9589,11.807116666666667,14.758895833333334,99,1,sitar__subcase-024__HGAM-GS__seed-27,100,8
sitar,24,HGAM-GS,28,5,9.9589,11.807116666666667,14.758895833333334,100,1,sitar__subcase-024__HGAM-GS__seed-28,100,9
sitar,24,HGAM-GS,30,5,9.9589,11.807116666666667,14.758895833333334,101,1,sitar__subcase-024__HGAM-GS__seed-30,100,10
